run_id,eccentricity,a,b,N,E_per_N,seed,t_max,dt_max,save_interval,use_projection,projection_interval
1,0.0,3.170233138523429,3.170233138523429,80,0.32,1,200.0,1.0e-5,0.5,true,100
2,0.0,3.170233138523429,3.170233138523429,80,0.32,2,200.0,1.0e-5,0.5,true,100
3,0.0,3.170233138523429,3.170233138523429,80,0.32,3,200.0,1.0e-5,0.5,true,100
4,0.0,3.170233138523429,3.170233138523429,80,0.32,4,200.0,1.0e-5,0.5,true,100
5,0.0,3.170233138523429,3.170233138523429,80,0.32,5,200.0,1.0e-5,0.5,true,100
6,0.0,3.170233138523429,3.170233138523429,80,0.32,6,200.0,1.0e-5,0.5,true,100
7,0.0,3.170233138523429,3.170233138523429,80,0.32,7,200.0,1.0e-5,0.5,true,100
8,0.0,3.170233138523429,3.170233138523429,80,0.32,8,200.0,1.0e-5,0.5,true,100
9,0.0,3.170233138523429,3.170233138523429,80,0.32,9,200.0,1.0e-5,0.5,true,100
10,0.0,3.170233138523429,3.170233138523429,80,0.32,10,200.0,1.0e-5,0.5,true,100
11,0.0,3.170233138523429,3.170233138523429,80,0.32,11,200.0,1.0e-5,0.5,true,100
12,0.0,3.170233138523429,3.170233138523429,80,0.32,12,200.0,1.0e-5,0.5,true,100
13,0.0,3.170233138523429,3.170233138523429,80,0.32,13,200.0,1.0e-5,0.5,true,100
14,0.0,3.170233138523429,3.170233138523429,80,0.32,14,200.0,1.0e-5,0.5,true,100
15,0.0,3.170233138523429,3.170233138523429,80,0.32,15,200.0,1.0e-5,0.5,true,100
16,0.0,3.170233138523429,3.170233138523429,80,0.32,16,200.0,1.0e-5,0.5,true,100
17,0.0,3.170233138523429,3.170233138523429,80,0.32,17,200.0,1.0e-5,0.5,true,100
18,0.0,3.170233138523429,3.170233138523429,80,0.32,18,200.0,1.0e-5,0.5,true,100
19,0.0,3.170233138523429,3.170233138523429,80,0.32,19,200.0,1.0e-5,0.5,true,100
20,0.0,3.170233138523429,3.170233138523429,80,0.32,20,200.0,1.0e-5,0.5,true,100
21,0.3,3.170233138523429,3.024209668468577,80,0.32,1,200.0,1.0e-5,0.5,true,100
22,0.3,3.170233138523429,3.024209668468577,80,0.32,2,200.0,1.0e-5,0.5,true,100
23,0.3,3.170233138523429,3.024209668468577,80,0.32,3,200.0,1.0e-5,0.5,true,100
24,0.3,3.170233138523429,3.024209668468577,80,0.32,4,200.0,1.0e-5,0.5,true,100
25,0.3,3.170233138523429,3.024209668468577,80,0.32,5,200.0,1.0e-5,0.5,true,100
26,0.3,3.170233138523429,3.024209668468577,80,0.32,6,200.0,1.0e-5,0.5,true,100
27,0.3,3.170233138523429,3.024209668468577,80,0.32,7,200.0,1.0e-5,0.5,true,100
28,0.3,3.170233138523429,3.024209668468577,80,0.32,8,200.0,1.0e-5,0.5,true,100
29,0.3,3.170233138523429,3.024209668468577,80,0.32,9,200.0,1.0e-5,0.5,true,100
30,0.3,3.170233138523429,3.024209668468577,80,0.32,10,200.0,1.0e-5,0.5,true,100
