run_id,N,e,a,b,E_per_N,radius,seed,t_max,save_interval,method,collision_method,use_parallel
1,40,0.0,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
2,40,0.0,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
3,40,0.0,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
4,40,0.0,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
5,40,0.0,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
6,40,0.0,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
7,40,0.0,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
8,40,0.0,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
9,40,0.0,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
10,40,0.0,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
11,40,0.3,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
12,40,0.3,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
13,40,0.3,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
14,40,0.3,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
15,40,0.3,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
16,40,0.3,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
17,40,0.3,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
18,40,0.3,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
19,40,0.3,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
20,40,0.3,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
21,40,0.5,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
22,40,0.5,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
23,40,0.5,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
24,40,0.5,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
25,40,0.5,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
26,40,0.5,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
27,40,0.5,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
28,40,0.5,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
29,40,0.5,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
30,40,0.5,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
31,40,0.7,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
32,40,0.7,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
33,40,0.7,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
34,40,0.7,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
35,40,0.7,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
36,40,0.7,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
37,40,0.7,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
38,40,0.7,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
39,40,0.7,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
40,40,0.7,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
