run_id,eccentricity,a_b_ratio,ecc_label,N,phi,radius,E_per_N,v_max,seed,design,status,date_started,date_finished,wall_time_seconds
1,0.0,1.0,Circle,20,0.04,0.06324555320336758,0.32,1.0,1,pilot,pending,,,NaN
2,0.0,1.0,Circle,20,0.04,0.06324555320336758,0.32,1.0,2,pilot,pending,,,NaN
3,0.0,1.0,Circle,20,0.04,0.06324555320336758,0.32,1.0,3,pilot,pending,,,NaN
4,0.0,1.0,Circle,20,0.04,0.06324555320336758,0.32,1.0,4,pilot,pending,,,NaN
5,0.0,1.0,Circle,20,0.04,0.06324555320336758,0.32,1.0,5,pilot,pending,,,NaN
6,0.0,1.0,Circle,20,0.04,0.06324555320336758,0.32,1.0,6,pilot,pending,,,NaN
7,0.0,1.0,Circle,20,0.04,0.06324555320336758,0.32,1.0,7,pilot,pending,,,NaN
8,0.0,1.0,Circle,20,0.04,0.06324555320336758,0.32,1.0,8,pilot,pending,,,NaN
9,0.0,1.0,Circle,20,0.04,0.06324555320336758,0.32,1.0,9,pilot,pending,,,NaN
10,0.0,1.0,Circle,20,0.04,0.06324555320336758,0.32,1.0,10,pilot,pending,,,NaN
11,0.0,1.0,Circle,20,0.06,0.07745966692414834,0.32,1.0,1,pilot,pending,,,NaN
12,0.0,1.0,Circle,20,0.06,0.07745966692414834,0.32,1.0,2,pilot,pending,,,NaN
13,0.0,1.0,Circle,20,0.06,0.07745966692414834,0.32,1.0,3,pilot,pending,,,NaN
14,0.0,1.0,Circle,20,0.06,0.07745966692414834,0.32,1.0,4,pilot,pending,,,NaN
15,0.0,1.0,Circle,20,0.06,0.07745966692414834,0.32,1.0,5,pilot,pending,,,NaN
16,0.0,1.0,Circle,20,0.06,0.07745966692414834,0.32,1.0,6,pilot,pending,,,NaN
17,0.0,1.0,Circle,20,0.06,0.07745966692414834,0.32,1.0,7,pilot,pending,,,NaN
18,0.0,1.0,Circle,20,0.06,0.07745966692414834,0.32,1.0,8,pilot,pending,,,NaN
19,0.0,1.0,Circle,20,0.06,0.07745966692414834,0.32,1.0,9,pilot,pending,,,NaN
20,0.0,1.0,Circle,20,0.06,0.07745966692414834,0.32,1.0,10,pilot,pending,,,NaN
21,0.0,1.0,Circle,20,0.09,0.09486832980505137,0.32,1.0,1,pilot,pending,,,NaN
22,0.0,1.0,Circle,20,0.09,0.09486832980505137,0.32,1.0,2,pilot,pending,,,NaN
23,0.0,1.0,Circle,20,0.09,0.09486832980505137,0.32,1.0,3,pilot,pending,,,NaN
24,0.0,1.0,Circle,20,0.09,0.09486832980505137,0.32,1.0,4,pilot,pending,,,NaN
25,0.0,1.0,Circle,20,0.09,0.09486832980505137,0.32,1.0,5,pilot,pending,,,NaN
26,0.0,1.0,Circle,20,0.09,0.09486832980505137,0.32,1.0,6,pilot,pending,,,NaN
27,0.0,1.0,Circle,20,0.09,0.09486832980505137,0.32,1.0,7,pilot,pending,,,NaN
28,0.0,1.0,Circle,20,0.09,0.09486832980505137,0.32,1.0,8,pilot,pending,,,NaN
29,0.0,1.0,Circle,20,0.09,0.09486832980505137,0.32,1.0,9,pilot,pending,,,NaN
30,0.0,1.0,Circle,20,0.09,0.09486832980505137,0.32,1.0,10,pilot,pending,,,NaN
31,0.0,1.0,Circle,40,0.04,0.044721359549995794,0.32,1.0,1,pilot,pending,,,NaN
32,0.0,1.0,Circle,40,0.04,0.044721359549995794,0.32,1.0,2,pilot,pending,,,NaN
33,0.0,1.0,Circle,40,0.04,0.044721359549995794,0.32,1.0,3,pilot,pending,,,NaN
34,0.0,1.0,Circle,40,0.04,0.044721359549995794,0.32,1.0,4,pilot,pending,,,NaN
35,0.0,1.0,Circle,40,0.04,0.044721359549995794,0.32,1.0,5,pilot,pending,,,NaN
36,0.0,1.0,Circle,40,0.04,0.044721359549995794,0.32,1.0,6,pilot,pending,,,NaN
37,0.0,1.0,Circle,40,0.04,0.044721359549995794,0.32,1.0,7,pilot,pending,,,NaN
38,0.0,1.0,Circle,40,0.04,0.044721359549995794,0.32,1.0,8,pilot,pending,,,NaN
39,0.0,1.0,Circle,40,0.04,0.044721359549995794,0.32,1.0,9,pilot,pending,,,NaN
40,0.0,1.0,Circle,40,0.04,0.044721359549995794,0.32,1.0,10,pilot,pending,,,NaN
41,0.0,1.0,Circle,40,0.06,0.05477225575051661,0.32,1.0,1,pilot,pending,,,NaN
42,0.0,1.0,Circle,40,0.06,0.05477225575051661,0.32,1.0,2,pilot,pending,,,NaN
43,0.0,1.0,Circle,40,0.06,0.05477225575051661,0.32,1.0,3,pilot,pending,,,NaN
44,0.0,1.0,Circle,40,0.06,0.05477225575051661,0.32,1.0,4,pilot,pending,,,NaN
45,0.0,1.0,Circle,40,0.06,0.05477225575051661,0.32,1.0,5,pilot,pending,,,NaN
46,0.0,1.0,Circle,40,0.06,0.05477225575051661,0.32,1.0,6,pilot,pending,,,NaN
47,0.0,1.0,Circle,40,0.06,0.05477225575051661,0.32,1.0,7,pilot,pending,,,NaN
48,0.0,1.0,Circle,40,0.06,0.05477225575051661,0.32,1.0,8,pilot,pending,,,NaN
49,0.0,1.0,Circle,40,0.06,0.05477225575051661,0.32,1.0,9,pilot,pending,,,NaN
50,0.0,1.0,Circle,40,0.06,0.05477225575051661,0.32,1.0,10,pilot,pending,,,NaN
51,0.0,1.0,Circle,40,0.09,0.0670820393249937,0.32,1.0,1,pilot,pending,,,NaN
52,0.0,1.0,Circle,40,0.09,0.0670820393249937,0.32,1.0,2,pilot,pending,,,NaN
53,0.0,1.0,Circle,40,0.09,0.0670820393249937,0.32,1.0,3,pilot,pending,,,NaN
54,0.0,1.0,Circle,40,0.09,0.0670820393249937,0.32,1.0,4,pilot,pending,,,NaN
55,0.0,1.0,Circle,40,0.09,0.0670820393249937,0.32,1.0,5,pilot,pending,,,NaN
56,0.0,1.0,Circle,40,0.09,0.0670820393249937,0.32,1.0,6,pilot,pending,,,NaN
57,0.0,1.0,Circle,40,0.09,0.0670820393249937,0.32,1.0,7,pilot,pending,,,NaN
58,0.0,1.0,Circle,40,0.09,0.0670820393249937,0.32,1.0,8,pilot,pending,,,NaN
59,0.0,1.0,Circle,40,0.09,0.0670820393249937,0.32,1.0,9,pilot,pending,,,NaN
60,0.0,1.0,Circle,40,0.09,0.0670820393249937,0.32,1.0,10,pilot,pending,,,NaN
61,0.0,1.0,Circle,80,0.04,0.03162277660168379,0.32,1.0,1,pilot,pending,,,NaN
62,0.0,1.0,Circle,80,0.04,0.03162277660168379,0.32,1.0,2,pilot,pending,,,NaN
63,0.0,1.0,Circle,80,0.04,0.03162277660168379,0.32,1.0,3,pilot,pending,,,NaN
64,0.0,1.0,Circle,80,0.04,0.03162277660168379,0.32,1.0,4,pilot,pending,,,NaN
65,0.0,1.0,Circle,80,0.04,0.03162277660168379,0.32,1.0,5,pilot,pending,,,NaN
66,0.0,1.0,Circle,80,0.04,0.03162277660168379,0.32,1.0,6,pilot,pending,,,NaN
67,0.0,1.0,Circle,80,0.04,0.03162277660168379,0.32,1.0,7,pilot,pending,,,NaN
68,0.0,1.0,Circle,80,0.04,0.03162277660168379,0.32,1.0,8,pilot,pending,,,NaN
69,0.0,1.0,Circle,80,0.04,0.03162277660168379,0.32,1.0,9,pilot,pending,,,NaN
70,0.0,1.0,Circle,80,0.04,0.03162277660168379,0.32,1.0,10,pilot,pending,,,NaN
71,0.0,1.0,Circle,80,0.06,0.03872983346207417,0.32,1.0,1,pilot,pending,,,NaN
72,0.0,1.0,Circle,80,0.06,0.03872983346207417,0.32,1.0,2,pilot,pending,,,NaN
73,0.0,1.0,Circle,80,0.06,0.03872983346207417,0.32,1.0,3,pilot,pending,,,NaN
74,0.0,1.0,Circle,80,0.06,0.03872983346207417,0.32,1.0,4,pilot,pending,,,NaN
75,0.0,1.0,Circle,80,0.06,0.03872983346207417,0.32,1.0,5,pilot,pending,,,NaN
76,0.0,1.0,Circle,80,0.06,0.03872983346207417,0.32,1.0,6,pilot,pending,,,NaN
77,0.0,1.0,Circle,80,0.06,0.03872983346207417,0.32,1.0,7,pilot,pending,,,NaN
