time,total_energy,momentum_x,momentum_y
0.0000000000,4.446847168746039e+00,-5.481640385681278e-01,-9.062069174824734e-01
0.0100100000,4.446847112904044e+00,-5.423786082842216e-01,-8.960589478012033e-01
0.0200100000,4.446847061003387e+00,-5.371993229628266e-01,-8.856273456337398e-01
0.0300100000,4.446847012850127e+00,-5.326116122948551e-01,-8.749065957885430e-01
0.0400000000,4.446846968352894e+00,-5.286087906967204e-01,-8.639115401330053e-01
0.0500000000,4.446846927292682e+00,-5.251706348093725e-01,-8.526231181898440e-01
0.0600000000,4.446846889591614e+00,-5.222875099538933e-01,-8.410544605452026e-01
0.0700000000,4.446846855132962e+00,-5.199438798506345e-01,-8.292072099705244e-01
0.0800000000,4.446846823808975e+00,-5.181227085099024e-01,-8.170824584753634e-01
0.0900100000,4.446846795495203e+00,-5.168044965327093e-01,-8.046682877852671e-01
0.1000100000,4.446846770161329e+00,-5.159721496431375e-01,-7.919897391921975e-01
0.1100100000,4.446846747702226e+00,-5.156032176121070e-01,-7.790344923136661e-01
0.1200100000,4.446846728054302e+00,-5.156757559919547e-01,-7.658022871812715e-01
0.1300100000,4.446846711166008e+00,-5.161668744259562e-01,-7.522927521303036e-01
0.1400100000,4.446846696997612e+00,-5.170528523673329e-01,-7.385054932768236e-01
0.1500000000,4.446846685530893e+00,-5.183078231882390e-01,-7.244543848479800e-01
0.1600000000,4.446846676725555e+00,-5.199092925411336e-01,-7.101111114768813e-01
0.1700000000,4.446846670587250e+00,-5.218306827205812e-01,-6.954896338105598e-01
0.1800000000,4.446846667118141e+00,-5.240461355886834e-01,-6.805902736989602e-01
0.1900000000,4.446846666328619e+00,-5.265295566913287e-01,-6.654136994108389e-01
0.2000000000,4.446846668236319e+00,-5.292547333309081e-01,-6.499609755857514e-01
0.2100000000,4.446846672864758e+00,-5.321954505866683e-01,-6.342336034544445e-01
0.2200081969,4.446846680127988e+00,-4.882974405641956e-01,-4.274194804859196e-01
0.2300081969,4.446846689956515e+00,-4.913373511635559e-01,-4.108768469583398e-01
0.2400081969,4.446846702415168e+00,-4.944775665418946e-01,-3.940254992491019e-01
0.2500081969,4.446846717529543e+00,-4.976923114828699e-01,-3.768685078893143e-01
0.2600081969,4.446846735323625e+00,-5.009562456212263e-01,-3.594093945616609e-01
0.2700081969,4.446846755818679e+00,-5.042445444819164e-01,-3.416521132911047e-01
0.2800081969,4.446846779031818e+00,-5.075329718665544e-01,-3.236010235869881e-01
0.2900081969,4.446846804975054e+00,-5.107979429831186e-01,-3.052608564159004e-01
0.3000081969,4.446846833654301e+00,-5.140165778515239e-01,-2.866366739714846e-01
0.3100081969,4.446846865068447e+00,-5.171667446680843e-01,-2.677338242677360e-01
0.3200081969,4.446846899208510e+00,-5.202270929595718e-01,-2.485578916129021e-01
0.3300081969,4.446846936057068e+00,-5.231770765062873e-01,-2.291146440253458e-01
0.3400081969,4.446846975587548e+00,-5.259969661555194e-01,-2.094099786319951e-01
