time,total_energy,angular_momentum
0.0000000000,3.015953531589538e+01,4.372341309657854e-02
0.0100004025,3.015953528265761e+01,-3.288399475611393e-01
0.0200004025,3.015953518678380e+01,-2.672172333968322e-01
0.0300004025,3.015953508507881e+01,-2.067758056691502e-01
0.0400004025,3.015953497417169e+01,-1.475940362439854e-01
0.0500004025,3.015953485043812e+01,-8.970624781622882e-02
0.0600000077,3.015953471044826e+01,2.079496421025874e-01
0.0700000077,3.015953454979688e+01,2.717028618427424e-01
0.0800008908,3.015953436310738e+01,8.142497019588685e-01
0.0900004805,3.015953138927577e+01,1.622822906151750e-01
0.1000004805,3.015953053349823e+01,2.731466774554325e-01
0.1100005261,3.015952972507352e+01,8.518596237418260e-01
0.1200008245,3.015952901395914e+01,8.777117951731116e-01
0.1300003167,3.015952839791798e+01,9.451744491097640e-01
0.1400001363,3.015952784361265e+01,1.292977572150447e+00
0.1500001363,3.015952735799988e+01,1.411694435756107e+00
0.1600006689,3.015952694221423e+01,1.770822835998046e+00
0.1700006689,3.015952659550217e+01,1.891971097009931e+00
0.1800006275,3.015952627372166e+01,2.325749116118886e+00
0.1900000183,3.015952621176622e+01,2.814957269829481e+00
0.2000000183,3.015952622824829e+01,2.952607528351618e+00
0.2100000183,3.015952624613438e+01,3.089818013774235e+00
0.2200000183,3.015952625847511e+01,3.226392808669051e+00
0.2300003283,3.015952625790701e+01,3.186370584004112e+00
0.2400000784,3.015952623680412e+01,3.550492766515874e+00
0.2500000784,3.015952618674713e+01,3.682295842098189e+00
0.2600003163,3.015952584792155e+01,3.953964013844625e+00
0.2700005917,3.015952518298721e+01,4.203609792631536e+00
0.2800005221,3.015952430933037e+01,3.952980816137106e+00
0.2900008598,3.015952325392574e+01,3.781401789549377e+00
0.3000008598,3.015952204006042e+01,3.893355807526348e+00
0.3100002380,3.015952066575967e+01,4.267420077844664e+00
0.3200002380,3.015951913707953e+01,4.360958586581207e+00
0.3300007249,3.015951748406619e+01,4.424488277056181e+00
0.3400005840,3.015951591781833e+01,4.321225777965812e+00
0.3500000225,3.015951451057733e+01,4.073800020385815e+00
0.3600000225,3.015951327258496e+01,4.092886561885419e+00
0.3700009387,3.015951221064693e+01,4.964763403436573e+00
0.3800009387,3.015951131198708e+01,4.965962116864571e+00
0.3900002481,3.015951092980480e+01,4.374369148694236e+00
0.4000007358,3.015951108985641e+01,4.448520226642613e+00
0.4100007358,3.015951127243637e+01,4.440603718404042e+00
0.4200007358,3.015951147426624e+01,4.432433229194256e+00
0.4300007358,3.015951169248227e+01,4.424004738849702e+00
0.4400007358,3.015951192459710e+01,4.415305460954417e+00
0.4500007358,3.015951216844408e+01,4.406315584676347e+00
0.4600007358,3.015951242213097e+01,4.397009643232257e+00
0.4700003935,3.015951268336644e+01,4.524381736423631e+00
0.4800007301,3.015951296071612e+01,4.227809510767903e+00
0.4900007301,3.015951324886431e+01,4.230044028910425e+00
0.5000003975,3.015951353868427e+01,3.935341928760717e+00
0.5100003975,3.015951382938714e+01,3.932397737527605e+00
0.5200003975,3.015951412023987e+01,3.928805567082647e+00
0.5300003975,3.015951441059150e+01,3.924510557877689e+00
0.5400003975,3.015951469980827e+01,3.919457077396415e+00
0.5500002020,3.015951497844943e+01,4.280463523875655e+00
0.5600009911,3.015951520851760e+01,3.889841236951314e+00
0.5700004522,3.015951543158939e+01,4.226627241248609e+00
0.5800004522,3.015951564628937e+01,4.206122451855326e+00
0.5900004522,3.015951584907788e+01,4.183854431226444e+00
0.6000004522,3.015951603876836e+01,4.159693289113640e+00
0.6100005174,3.015951621145260e+01,3.745675417999017e+00
0.6200000633,3.015951633851361e+01,3.412686264318775e+00
0.6300000633,3.015951644381440e+01,3.376360468088740e+00
0.6400008683,3.015951651972859e+01,3.640385107222658e+00
0.6500008683,3.015951656622204e+01,3.601504163517207e+00
0.6600008683,3.015951658458082e+01,3.559962153344177e+00
0.6700008683,3.015951657288154e+01,3.515659718565472e+00
0.6800008683,3.015951652922085e+01,3.468514718744363e+00
0.6900008683,3.015951645171979e+01,3.418468279149161e+00
0.7000007809,3.015951633831259e+01,3.272313198207683e+00
0.7100006987,3.015951618748189e+01,3.147513441307186e+00
0.7200006987,3.015951599727388e+01,3.089919795662325e+00
0.7300006987,3.015951576562639e+01,3.029526274587699e+00
0.7400004916,3.015951548855175e+01,2.673510560493439e+00
0.7500007446,3.015950856710407e+01,1.744677904740532e+00
0.7600007446,3.015950776043397e+01,1.711341134049272e+00
0.7700007446,3.015950698968613e+01,1.683701259445396e+00
0.7800007446,3.015950626746483e+01,1.661461614197640e+00
0.7900007446,3.015950560344037e+01,1.644212875456169e+00
0.8000009155,3.015950517297178e+01,1.787047277316042e+00
0.8100009155,3.015950497534238e+01,1.782566476761357e+00
0.8200009155,3.015950481424220e+01,1.777226706812498e+00
0.8300001035,3.015950468450998e+01,1.593317509727683e+00
0.8400005812,3.015949931859302e+01,1.829645349076964e+00
0.8500005812,3.015949924912393e+01,1.800350678414695e+00
0.8600005842,3.015949918449233e+01,1.256122603606827e+00
0.8700004055,3.015949907501314e+01,9.765648289505173e-01
0.8800004055,3.015949897413514e+01,9.359017990699628e-01
