id,mass,radius,theta,theta_dot,x,y,vx,vy
1,1.0000000000,0.1000000000,3.3823706790,1.9894181098,-1.9423054844,-0.2384582800,0.9487864414,-1.9320288528
2,1.0000000000,0.1000000000,0.1730507161,-1.7185472759,1.9701281081,0.1721882964,0.5918274555,-1.6928791466
3,1.0000000000,0.1000000000,0.7279490129,1.6221742488,1.4930811502,0.6653398904,-2.1585944738,1.2110188966
4,1.0000000000,0.1000000000,2.3205697893,0.5096955653,-1.3629459752,0.7318432668,-0.7460345352,-0.3473437596
5,1.0000000000,0.1000000000,3.1218470682,-0.7209801822,-1.9996101245,0.0197443023,0.0284705013,0.7208396360
6,1.0000000000,0.1000000000,4.0273360341,1.7069041020,-1.2654280265,-0.7743855483,2.6436037379,-1.0799821446
7,1.0000000000,0.1000000000,2.6799890072,-0.4857955659,-1.7906788197,0.4453844869,0.4327316177,0.4349519153
8,1.0000000000,0.1000000000,5.2690272092,0.4226476722,1.0566698478,-0.8490360465,0.7176862173,0.2232995257
9,1.0000000000,0.1000000000,4.4956547570,-1.7009015526,-0.4300828039,-0.9766049331,-3.3222176942,0.3657642545
10,1.0000000000,0.1000000000,0.3887229478,0.3068378377,1.8507876519,0.3790069483,-0.2325873450,0.2839458406
11,1.0000000000,0.1000000000,4.6293325515,-0.6002044400,-0.1659219390,-0.9965527972,-1.1962708271,0.0497935422
12,1.0000000000,0.1000000000,2.1112044891,1.1530524943,-1.0289720663,0.8574987590,-1.9774821659,-0.5932294038
13,1.0000000000,0.1000000000,5.7433568671,-0.2068770247,1.7155937477,-0.5139888357,-0.2126649621,-0.1774584651
14,1.0000000000,0.1000000000,1.5419933902,-1.0469747845,0.0575979084,0.9995852241,2.0930810491,-0.0301517789
15,1.0000000000,0.1000000000,1.1125111785,-0.1971438782,0.8848217156,0.8968124848,0.3536021825,-0.0872185922
16,1.0000000000,0.1000000000,6.1773640250,-1.0842968391,1.9888123022,-0.1056238924,-0.2290553054,-1.0782314464
17,1.0000000000,0.1000000000,4.2700995963,0.5210669729,-0.8560193422,-0.9037741540,0.9418537253,-0.2230217037
18,1.0000000000,0.1000000000,1.6572998276,-0.9071704711,-0.1727913180,0.9962609046,1.8075569485,0.0783755907
19,1.0000000000,0.1000000000,5.5810751167,1.8956582306,1.5269621267,-0.6458302144,2.4485467231,1.4472991617
20,1.0000000000,0.1000000000,3.8099387645,-0.6615363006,-1.5696952707,-0.6196887842,-0.8198932517,0.5192052012
