time,particle_id,theta,theta_dot,x,y,vx,vy,energy
0.0000000000,1,3.3823706790,0.9947090549,-1.9423054844,-0.2384582800,0.4743932207,-0.9660144264,1.1440431410e+01
0.0000000000,2,0.1730507161,-0.8592736379,1.9701281081,0.1721882964,0.2959137277,-0.8464395733,2.9946550333e-02
0.0000000000,3,0.7279490129,0.8110871244,1.4930811502,0.6653398904,-1.0792972369,0.6055094483,5.2990976541e-01
0.0000000000,4,2.3205697893,0.2548477826,-1.3629459752,0.7318432668,-0.3730172676,-0.1736718798,5.3850441471e+00
0.0000000000,5,3.1218470682,-0.3604900911,-1.9996101245,0.0197443023,0.0142352507,0.3604198180,9.7459291175e+00
0.0000000000,6,4.0273360341,0.8534520510,-1.2654280265,-0.7743855483,1.3218018689,-0.5399910723,1.6219435531e+01
0.0000000000,7,2.6799890072,-0.2428977830,-1.7906788197,0.4453844869,0.2163658088,0.2174759577,7.1823410787e+00
0.0000000000,8,5.2690272092,0.2113238361,1.0566698478,-0.8490360465,0.3588431086,0.1116497629,2.7762647731e+01
0.0000000000,9,4.4956547570,-0.8504507763,-0.4300828039,-0.9766049331,-1.6611088471,0.1828821272,2.0210911694e+01
0.0000000000,10,0.3887229478,0.1534189189,1.8507876519,0.3790069483,-0.1162936725,0.1419729203,1.5110553019e-01
0.0100100000,1,3.3922981884,0.9887905039,-1.9374752569,-0.2480874991,0.4906131264,-0.9578785678,1.1507686999e+01
0.0100100000,2,0.1644323039,-0.8626712590,1.9730228836,0.1636923187,0.2824253174,-0.8510350675,2.7037982577e-02
0.0100100000,3,0.7360470516,0.8069117152,1.4822564151,0.6713635230,-1.0834621838,0.5980250332,5.4176526217e-01
0.0100100000,4,2.3231226853,0.2552220919,-1.3666781692,0.7301011543,-0.3726758878,-0.1744032307,5.3968990109e+00
0.0100100000,5,3.1182389705,-0.3604061503,-1.9994546303,0.0233515603,0.0168320919,0.3603078730,9.7234142771e+00
0.0100100000,6,4.0358600801,0.8496638807,-1.2521804179,-0.7797506334,1.3250518983,-0.5319662366,1.6288166586e+01
0.0100100000,7,2.6775598124,-0.2424556526,-1.7885096872,0.4475581244,0.2170259942,0.2168171417,7.1693265492e+00
0.0100100000,8,5.2711435137,0.2115145930,1.0602611164,-0.8479160284,0.3586932273,0.1121303493,2.7784953942e+01
0.0100100000,9,4.4871357543,-0.8516572044,-0.4467063964,-0.9747375795,-1.6602845639,0.1902203604,2.0134387278e+01
0.0100100000,10,0.3902578054,0.1532457930,1.8496220290,0.3804268490,-0.1165976283,0.1417233973,1.5230115465e-01
0.0200100000,1,3.4021562559,0.9828063299,-1.9324898669,-0.2576251706,0.5063912969,-0.9496316368,1.1574667189e+01
0.0200100000,2,0.1557891209,-0.8659483445,1.9757787972,0.1551597117,0.2687205910,-0.8554611893,2.4270250206e-02
0.0200100000,3,0.7440956585,0.8028185490,1.4714014395,0.6773067628,-1.0875088651,0.5906341844,5.5367834895e-01
0.0200100000,4,2.3256767838,0.2555983604,-1.3704032079,0.7283534595,-0.3723319000,-0.1751364065,5.4087725025e+00
0.0200100000,5,3.1146353858,-0.3603083725,-1.9992733497,0.0269540029,0.0194235059,0.3601774634,9.7009535867e+00
0.0200100000,6,4.0443381496,0.8459596082,-1.2389140146,-0.7850305829,1.3282083287,-0.5240356072,1.6356671068e+01
0.0200100000,7,2.6751374555,-0.2420155706,-1.7863361509,0.4497230136,0.2176799435,0.2161605815,7.1563604059e+00
0.0200100000,8,5.2732596161,0.2117062444,1.0638472941,-0.8467923203,0.3585424438,0.1126115576,2.7807266978e+01
0.0200100000,9,4.4786129522,-0.8529128921,-0.4633049624,-0.9727986061,-1.6594249451,0.1975793877,2.0057973976e+01
0.0200100000,10,0.3917894004,0.1530730851,1.8484545403,0.3818428382,-0.1168997225,0.1414743195,1.5349893427e-01
0.0300100000,1,3.4119541778,0.9767634063,-1.9273488070,-0.2670798458,0.5217476399,-0.9412818930,1.1641431312e+01
0.0300100000,2,0.1471137856,-0.8691002690,1.9783965390,0.1465837087,0.2547918813,-0.8597124821,2.1642465907e-02
0.0300100000,3,0.7521037172,0.7988019077,1.4605065513,0.6831765170,-1.0914454101,0.5833277097,5.6566000139e-01
0.0300100000,4,2.3282346566,0.2559769762,-1.3741247919,0.7265984201,-0.3719849329,-0.1758721546,5.4206766164e+00
0.0300100000,5,3.1110328482,-0.3601967352,-1.9990661710,0.0305550489,0.0220116577,0.3600285541,9.6785253827e+00
0.0300100000,6,4.0527795691,0.8423336721,-1.2256164863,-0.7902316478,1.3312774513,-0.5161890177,1.6425022236e+01
0.0300100000,7,2.6727194914,-0.2415771018,-1.7841561028,0.4518813452,0.2183283715,0.2155056303,7.1434294795e+00
0.0300100000,8,5.2753776404,0.2118989858,1.0674319586,-0.8456637946,0.3583906008,0.1130938747,2.7829609248e+01
0.0300100000,9,4.4700773391,-0.8542195607,-0.4798947487,-0.9707858969,-1.6585286046,0.2049677407,1.9981591417e+01
0.0300100000,10,0.3933192696,0.1529006251,1.8472840384,0.3832563376,-0.1172002672,0.1412254421,1.5470004783e-01
0.0400000000,1,3.4216817208,0.9706798958,-1.9220616406,-0.2764412459,0.5366719196,-0.9328532965,1.1707905798e+01
0.0400000000,2,0.1384163108,-0.8721160384,1.9808714945,0.1379747460,0.2406599777,-0.8637749002,1.9159075102e-02
0.0400000000,3,0.7600640369,0.7948642103,1.4495837857,0.6889678599,-1.0952717878,0.5761111355,5.7769734017e-01
0.0400000000,4,2.3307937639,0.2563575727,-1.3778391748,0.7248377764,-0.3716353059,-0.1766097532,5.4325995698e+00
0.0400000000,5,3.1074350967,-0.3600714323,-1.9988333747,0.0341509151,0.0245935379,0.3598613981,9.6561528801e+00
0.0400000000,6,4.0611767256,0.8387878962,-1.2123020344,-0.7953495737,1.3342591914,-0.5084321365,1.6493156397e+01
0.0400000000,7,2.6703083152,-0.2411406890,-1.7819717876,0.4540309869,0.2189706900,0.2148529523,7.1305464983e+00
0.0400000000,8,5.2774954766,0.2120926286,1.0710115170,-0.8445315759,0.3582378438,0.1135768240,2.7851958506e+01
0.0400000000,9,4.4615369580,-0.8555763917,-0.4964588089,-0.9687012763,-1.6575958853,0.2123792182,1.9905312027e+01
0.0400000000,10,0.3948458881,0.1527285885,1.8461117138,0.3846659395,-0.1174989720,0.1409770182,1.5590327538e-01
0.0500000000,1,3.4313579498,0.9645549602,-1.9166219264,-0.2857273138,0.5511993955,-0.9243435930,1.1774217380e+01
0.0500000000,2,0.1296806551,-0.8749937310,1.9832064823,0.1293174858,0.2263039787,-0.8676466197,1.6817072301e-02
0.0500000000,3,0.7679932966,0.7909961125,1.4386123203,0.6946932042,-1.0989992479,0.5689683764,5.8981370368e-01
0.0500000000,4,2.3333592525,0.2567409274,-1.3815537626,0.7230679776,-0.3712822863,-0.1773506972,5.4445654014e+00
0.0500000000,5,3.1038350660,-0.3599322822,-1.9985745339,0.0377486168,0.0271738916,0.3596757466,9.6337921170e+00
0.0500000000,6,4.0695471879,0.8353135432,-1.1989448331,-0.8003954159,1.3371622615,-0.5007474283,1.6561214315e+01
0.0500000000,7,2.6678990837,-0.2407054647,-1.7797788865,0.4561762584,0.2196082366,0.2142012520,7.1176855208e+00
0.0500000000,8,5.2796173757,0.2122875661,1.0745931248,-0.8433933863,0.3580838585,0.1140613795,2.7874359634e+01
0.0500000000,9,4.4529741931,-0.8569866926,-0.5130299284,-0.9665402595,-1.6566242804,0.2198299108,1.9828979164e+01
0.0500000000,10,0.3963723149,0.1525566340,1.8449352348,0.3860744680,-0.1177964426,0.1407285547,1.5711101200e-01
0.0600000000,1,3.4409727975,0.9584053131,-1.9110389712,-0.2949279788,0.5653210837,-0.9157749518,1.1840293793e+01
0.0600000000,2,0.1209169602,-0.8777224233,1.9853968943,0.1206225228,0.2117461861,-0.8713136867,1.4620911267e-02
0.0600000000,3,0.7758842369,0.7872001552,1.4276040801,0.7003475192,-1.1026273516,0.5619050767,6.0199634915e-01
0.0600000000,4,2.3359285867,0.2571266764,-1.3852648049,0.7212907563,-0.3709261897,-0.1780942676,5.4565623620e+00
0.0600000000,5,3.1002364951,-0.3597794799,-1.9982899119,0.0413443707,0.0297497124,0.3594718526,9.6114663257e+00
