id,mass,radius,theta,theta_dot,x,y,vx,vy
1,1.0000000000,0.1000000000,4.7089837080,-0.1820998020,-0.0068105316,-0.9999942021,-0.3641974923,0.0006200982
2,1.0000000000,0.1000000000,1.5879199869,-0.3438949885,-0.0342456466,0.9998533937,0.6876891426,0.0058884531
3,1.0000000000,0.1000000000,2.0862303789,-0.3836241422,-0.9858251101,0.8700788545,0.6675665084,0.1890931561
4,1.0000000000,0.1000000000,3.9175270562,-0.9750630137,-1.4275338114,-0.7003833267,-1.3658357545,0.6959677101
5,1.0000000000,0.1000000000,4.5592054583,-0.9045947584,-0.3051702888,-0.9882903287,-1.7880045021,0.1380277218
6,1.0000000000,0.1000000000,5.3774149806,1.6892525170,1.2341591851,-0.7869007412,2.6585481154,1.0424032549
7,1.0000000000,0.1000000000,4.0522448900,-0.6504504395,-1.2264613517,-0.7899038791,-1.0275866506,0.3988761626
8,1.0000000000,0.1000000000,1.0127624539,-1.1777725051,1.0590387221,0.8482978523,1.9982037733,-0.6236533444
9,1.0000000000,0.1000000000,6.0011545822,1.5123502575,1.9209845095,-0.2783067166,0.8417944691,1.4526007088
10,1.0000000000,0.1000000000,1.8250826295,1.8685841527,-0.5031094516,0.9678430761,-3.6169924685,-0.4700511741
11,1.0000000000,0.1000000000,6.2159484667,-1.7971013406,1.9954809102,-0.0671861913,-0.2414807887,-1.7930407094
12,1.0000000000,0.1000000000,3.7774721259,-0.6764599374,-1.6090994040,-0.5938853231,-0.8034792570,0.5442456410
13,1.0000000000,0.1000000000,1.3507791800,-1.7017696864,0.4364927130,0.9758937073,3.3214926562,-0.3714050337
14,1.0000000000,0.1000000000,3.0730519282,-0.6092713781,-1.9953040078,0.0684870726,0.0834544262,0.6078408113
15,1.0000000000,0.1000000000,2.5346088816,2.2773863830,-1.6427443714,0.5703926127,-2.5980087381,-1.8705818311
16,1.0000000000,0.1000000000,1.6997161981,0.4140371463,-0.2571261055,0.9917013368,-0.8212023830,-0.0532298795
17,1.0000000000,0.1000000000,5.5373396326,1.3947563047,1.4690285921,-0.6785932131,1.8929443246,1.0244684453
18,1.0000000000,0.1000000000,3.3724916281,0.6987272883,-1.9469221112,-0.2288527326,0.3198112985,-0.6801838036
19,1.0000000000,0.1000000000,1.2469666244,-0.3752281859,0.6363990681,0.9480237637,0.7114504740,-0.1193974339
20,1.0000000000,0.1000000000,5.2532751562,0.5406766293,1.0297917407,-0.8572527298,0.9269930328,0.2783921636
21,1.0000000000,0.1000000000,0.7978028246,-1.6593593994,1.3965623671,0.7158235737,2.3756171508,-1.1586994453
22,1.0000000000,0.1000000000,3.5522038700,0.3019110131,-1.8337540299,-0.3991698128,0.2410275252,-0.2768152685
23,1.0000000000,0.1000000000,1.1232851630,1.1393498306,0.8654462478,0.9015268704,-2.0543089741,0.4930230179
24,1.0000000000,0.1000000000,0.3618303697,-1.0207124376,1.8705009284,0.3539866794,0.7226372127,-0.9546217811
25,1.0000000000,0.1000000000,1.4603904604,1.4286185745,0.2203634103,0.9939114608,-2.8398407485,0.1574076305
26,1.0000000000,0.1000000000,2.6933014565,2.5409711534,-1.8023781154,0.4334262131,-2.2026470095,-2.2898953995
27,1.0000000000,0.1000000000,4.8785273886,-0.1399324617,0.3307503422,-0.9862307300,-0.2760113876,-0.0231413548
28,1.0000000000,0.1000000000,5.7021673734,-1.4806586995,1.6718087291,-0.5488751163,-1.6253934318,-1.2376890694
29,1.0000000000,0.1000000000,4.2031550607,1.1387199832,-0.9750170226,-0.8731182345,1.9884743627,-0.5551356838
30,1.0000000000,0.1000000000,2.2524105203,1.4767177366,-1.2600947142,0.7765567125,-2.2935101418,-0.9304021072
