time,total_energy,conjugate_momentum
0.0000000000,2.116843480140699e+00,-3.782142763180785e+00
0.1000100000,2.116843859520869e+00,-3.782142649424405e+00
0.2000000000,2.116844355634450e+00,-3.782142682801274e+00
0.3000000000,2.116844937071068e+00,-3.782142825980763e+00
0.4000000000,2.116845566596357e+00,-3.782143039361178e+00
0.5000000000,2.116846194357355e+00,-3.782143279484374e+00
0.6000100000,2.116846737269779e+00,-3.782143487784298e+00
0.7000100000,2.116847028802487e+00,-3.782143560955790e+00
0.8000100000,2.116846699170592e+00,-3.782143279751093e+00
0.9000100000,2.116844905596330e+00,-3.782142149481765e+00
1.0000000000,2.116839966553959e+00,-3.782139183969050e+00
